Tm,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
128858,545415,-1047609,-107012,-575101,1943384,-2797652,-2294850,-5143204,-5385671,-3260546,-6213226,-3809243,-3988699,-1728024,-3950491,-5294734
128859,544363,-1044296,-106209,-573602,1947834,-2393185,-2290515,-5148360,-5390958,-3261642,-6219703,-3808044,-3988513,-1734159,-3950949,-4969231
128860,542145,-1040559,-108558,-575784,1944750,-2439127,-2293471,-5150823,-5387720,-3262256,-6219832,-3803924,-3987058,-1735024,-3951804,-4899957
128861,542844,-1043304,-109598,-577497,1939884,-2852827,-2298027,-5145952,-5381983,-3261387,-6213524,-3804559,-3987102,-1729146,-3951662,-5213342
128862,545255,-1047561,-107132,-575402,1942531,-2859076,-2295376,-5142666,-5384557,-3260614,-6212569,-3808867,-3988646,-1727484,-3950822,-5328862
128863,544729,-1045327,-105789,-573386,1947664,-2445182,-2290460,-5147270,-5390654,-3261497,-6218946,-3808647,-3988726,-1733313,-3951050,-5023605
128864,542414,-1041065,-107976,-575232,1945778,-2392326,-2292341,-5150982,-5388811,-3262299,-6220550,-3804377,-3987266,-1735541,-3951960,-4879381
128865,542739,-1042619,-109417,-577244,1940536,-2794852,-2297331,-5146906,-5382443,-3261423,-6214400,-3803768,-3986680,-1729952,-3951815,-5158570
128866,545454,-1047374,-107345,-575699,1941916,-2908376,-2295943,-5142389,-5383407,-3260470,-6211869,-3808049,-3988254,-1726856,-3951041,-5350347
128867,545590,-1046191,-105278,-573088,1947600,-2509716,-2290506,-5145924,-5389927,-3261116,-6217763,-3808844,-3988677,-1732032,-3951026,-5084040
128868,543239,-1041663,-107040,-574406,1947082,-2362005,-2291102,-5150456,-5389737,-3262187,-6220942,-3804826,-3987461,-1735706,-3952069,-4874484
128869,542692,-1042187,-108986,-576777,1941543,-2727996,-2296422,-5147578,-5383492,-3261688,-6215692,-3803400,-3986700,-1731151,-3952315,-5102525
128870,545168,-1047227,-107464,-575891,1941507,-2939311,-2296380,-5142295,-5382776,-3260557,-6211659,-3807322,-3988026,-1726754,-3951496,-5355842
128871,545787,-1047242,-104949,-572930,1947249,-2581406,-2290887,-5144612,-5389245,-3260893,-6216652,-3809126,-3988769,-1730966,-3951202,-5145404
128872,543511,-1042671,-106224,-573605,1948039,-2346432,-2290209,-5149807,-5390593,-3262118,-6221142,-3805569,-3987782,-1735731,-3952259,-4881432
128873,542373,-1041959,-108477,-576108,1942643,-2654957,-2295428,-5148268,-5384506,-3261843,-6216862,-3803121,-3986668,-1732194,-3952644,-5045323
128874,544743,-1046750,-107492,-575852,1941301,-2950688,-2296678,-5142486,-5382101,-3260564,-6211661,-3806415,-3987731,-1726766,-3951844,-5344416
128875,545857,-1048013,-104777,-572807,1946749,-2659678,-2291464,-5143517,-5388214,-3260644,-6215513,-3809173,-3988832,-1729751,-3951394,-5206385
128876,543903,-1043597,-105411,-572735,1948905,-2349171,-2289435,-5148989,-5391162,-3262030,-6221104,-3806321,-3988200,-1735411,-3952370,-4903682
128877,542339,-1041740,-107804,-575225,1944003,-2582310,-2294177,-5148729,-5385736,-3262059,-6218115,-3803102,-3986873,-1733214,-3952897,-4993679
128878,544261,-1046193,-107539,-575674,1941259,-2941154,-2296716,-5142885,-5382037,-3260892,-6212211,-3805766,-3987677,-1727287,-3952293,-5318257
128879,546074,-1048468,-104577,-572581,1946193,-2731636,-2291925,-5142313,-5387216,-3260551,-6214524,-3809092,-3988885,-1728712,-3951496,-5258053
128880,544480,-1044531,-104566,-571826,1949498,-2365152,-2288752,-5147861,-5391356,-3261767,-6220661,-3806789,-3988378,-1734716,-3952166,-4934009
128881,542425,-1041882,-107159,-574379,1945199,-2513799,-2292916,-5149067,-5386905,-3262121,-6219170,-3803046,-3987009,-1734019,-3952972,-4948554
128882,543773,-1045702,-107614,-575539,1941264,-2913491,-2296597,-5143579,-5382039,-3261029,-6212820,-3804744,-3987392,-1727837,-3952613,-5279234
128883,545896,-1049149,-104882,-572902,1945106,-2803889,-2292801,-5141755,-5386289,-3260632,-6213748,-3808839,-3989015,-1727933,-3952006,-5304789
128884,544938,-1045841,-104091,-571352,1949513,-2401304,-2288519,-5146901,-5391515,-3261723,-6220216,-3807483,-3988794,-1734052,-3952495,-4978906
128885,542810,-1042161,-106429,-573482,1946349,-2453294,-2291524,-5149289,-5388170,-3262255,-6220172,-3803237,-3987261,-1734761,-3953281,-4914131
128886,543596,-1045031,-107439,-575137,1941529,-2867078,-2296027,-5144435,-5382473,-3261325,-6213783,-3803831,-3987286,-1728776,-3953051,-5229107
128887,546056,-1049235,-104947,-572935,1944298,-2865108,-2293277,-5141221,-5385281,-3260678,-6213056,-3808174,-3988976,-1727276,-3952306,-5338697
128888,545434,-1046969,-103653,-570948,1949368,-2450541,-2288441,-5145936,-5391333,-3261594,-6219476,-3807872,-3989066,-1733132,-3952547,-5031054
128889,543034,-1042864,-105949,-572951,1947302,-2403191,-2290494,-5149619,-5389521,-3262522,-6221139,-3803672,-3987754,-1735428,-3953613,-4890679
