Tm,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
2893,1.89189,1.16143,-2.37655,-1.57584,5.4128,0.25504,7.32342,-0.68327
2894,2.66805,2.17967,-4.16295,-4.14864,2.35616,-3.57056,-1.88682,0.84217
2895,6.29013,6.50719,-0.33495,-0.03216,6.43168,0.51008,-0.35178,3.89305
2896,8.61861,8.28911,3.49305,4.85616,11.01664,5.35584,6.5559,3.38457
2897,7.58373,7.52543,5.27945,7.17168,13.30912,8.16128,11.41686,-1.19175
2898,6.80757,6.50719,7.32105,9.74448,16.8752,11.73184,16.27782,-4.75111
2899,7.32501,7.01631,8.34185,11.03088,19.4224,14.53728,22.16214,-3.47991
2900,7.58373,7.52543,8.08665,10.7736,20.18656,12.752,17.04534,-0.93751
2901,7.06629,6.50719,7.32105,10.00176,20.696,9.43648,9.1143,0.84217
2902,7.06629,7.01631,9.36265,12.06,22.73376,10.71168,11.92854,3.13033
2903,8.10117,8.28911,11.40425,14.37552,23.75264,12.752,16.7895,1.85913
2904,9.91221,10.07103,13.19065,14.6328,22.73376,13.51712,18.0687,1.35065
2905,10.17093,10.32559,13.44585,14.11824,21.71488,14.28224,17.04534,1.35065
2906,12.75813,13.12575,15.74265,16.43376,26.04512,16.83264,18.58038,4.40153
2907,18.44997,18.47151,19.06025,19.7784,30.12064,18.36288,21.39462,8.46937
2908,21.29589,21.78079,20.59145,20.55024,30.63008,18.61792,25.48806,11.52025
2909,23.10693,23.05359,21.61225,21.32208,31.90368,21.6784,31.62822,14.06265
2910,23.62437,23.56271,22.37785,21.32208,32.1584,19.89312,23.44134,13.04569
2911,23.62437,23.81727,23.90905,23.12304,33.432,20.65824,20.88294,13.04569
2912,21.55461,21.27167,22.88825,23.6376,32.92256,21.42336,25.48806,14.31689
2913,20.00229,19.99887,21.10185,22.86576,31.90368,21.93344,27.53478,15.07961
2914,21.81333,22.28991,20.59145,22.09392,31.64896,20.14816,24.97638,15.07961
2915,24.65925,25.09007,21.35705,21.32208,31.90368,17.59776,24.20886,15.33385
2916,26.98773,27.12655,22.88825,22.3512,33.68672,19.38304,31.11654,17.36777
2917,26.47029,26.61743,22.12265,22.3512,33.432,18.87296,27.53478,17.87625
2918,26.98773,27.12655,23.39865,24.40944,34.7056,20.65824,24.72054,19.65593
2919,26.47029,26.36287,25.69545,27.75408,37.76224,25.504,29.83734,17.11353
2920,21.55461,21.27167,23.90905,27.23952,36.99808,27.03424,32.1399,13.04569
2921,19.48485,19.48975,22.37785,25.95312,35.72448,25.75904,30.34902,12.53721
2922,21.29589,21.78079,22.63305,25.69584,35.72448,24.48384,26.76726,13.55417
2923,22.84821,23.05359,22.63305,25.18128,34.96032,23.20864,24.72054,13.80841
2924,21.03717,20.50799,19.57065,21.32208,28.3376,18.87296,21.39462,12.53721
2925,17.41509,16.94415,14.97705,16.94832,19.93184,13.77216,18.32454,9.23209
2926,16.63893,16.68959,13.70105,16.43376,17.89408,13.26208,21.9063,9.23209
2927,21.03717,21.27167,17.52905,19.7784,20.18656,15.81248,26.51142,14.06265
2928,22.07205,21.52623,18.03945,18.74928,19.4224,12.24192,16.53366,14.82537
2929,20.77845,20.25343,17.27385,17.46288,18.65824,10.2016,12.44022,13.29993
2930,20.77845,21.01711,18.03945,18.74928,23.2432,14.53728,19.3479,13.55417
2931,19.74357,19.48975,15.99785,17.72016,25.28096,16.06752,22.67382,12.28297
2932,17.41509,17.19871,13.44585,15.66192,24.77152,14.28224,21.9063,8.21513
2933,18.19125,18.21695,15.48745,17.2056,26.80928,16.5776,26.76726,10.24905
2934,20.26101,19.99887,17.52905,19.00656,29.6112,21.6784,34.95414,14.57113
2935,22.84821,22.79903,18.54985,19.7784,29.86592,21.6784,30.09318,17.87625
2936,24.40053,24.32639,19.82585,20.55024,27.57344,18.10784,20.11542,19.65593
2937,23.88309,23.81727,22.12265,22.60848,26.80928,18.87296,22.41798,21.18137
2938,25.17669,25.34463,25.44025,26.46768,27.57344,22.44352,29.06982,24.74073
2939,28.54005,28.39935,27.73705,30.0696,29.86592,25.24896,31.88406,26.52041
2940,28.54005,28.14479,26.20585,29.04048,29.6112,23.97376,29.83734,23.72377
2941,24.65925,24.07183,23.14345,26.46768,28.59232,22.18848,29.5815,18.38473
2942,23.36565,23.56271,24.67465,27.75408,30.63008,26.7792,37.76838,17.87625
2943,25.17669,25.34463,26.20585,26.98224,29.6112,27.03424,34.6983,17.36777
2944,29.31621,29.67215,26.20585,25.18128,26.29984,23.20864,25.7439,17.11353
2945,32.67957,32.47231,26.46105,25.95312,26.55456,24.73888,28.04646,18.13049
2946,30.60981,30.18127,27.73705,28.7832,28.59232,27.28928,31.37238,19.14745
2947,29.83365,29.92671,29.01305,30.32688,28.59232,26.26912,29.83734,21.94409
2948,29.31621,29.16303,26.71625,27.75408,24.77152,22.44352,25.99974,20.16441
2949,26.98773,27.12655,24.16425,24.924,21.71488,21.6784,30.09318,14.57113
2950,26.21157,26.10831,23.65385,24.15216,20.95072,21.6784,31.62822,15.58809
2951,24.91797,24.32639,21.61225,22.3512,18.1488,16.83264,21.39462,20.92713
2952,21.29589,20.50799,17.78425,19.26384,15.85632,13.00704,17.30118,18.89321
2953,14.56917,14.14399,13.19065,15.66192,13.30912,11.22176,19.3479,11.01177
2954,10.94709,11.08927,11.40425,13.86096,11.7808,11.73184,21.13878,7.96089
2955,13.27557,13.88943,14.21145,16.17648,13.30912,16.32256,29.83734,10.75753
2956,15.86277,16.18047,16.25305,17.2056,13.30912,16.06752,27.79062,11.77449
2957,16.89765,16.68959,16.76345,16.94832,11.52608,10.96672,14.74278,11.52025
2958,20.00229,19.99887,19.31545,19.00656,13.0544,11.22176,14.48694,13.80841
2959,24.91797,25.09007,23.65385,21.83664,17.38464,15.3024,21.13878,17.36777
2960,28.54005,28.90847,25.44025,23.12304,19.93184,16.5776,23.69718,20.92713
2961,31.38597,31.96319,29.01305,26.2104,23.2432,20.14816,26.51142,25.24921
2962,36.81909,37.56351,37.17945,35.47248,31.90368,29.83968,35.46582,32.87641
2963,41.99349,42.65471,43.30425,42.16176,38.27168,37.23584,44.42022,37.45273
2964,40.69989,40.87279,42.28345,41.13264,35.9792,33.66528,35.72166,36.18153
2965,37.33653,37.30895,40.24185,39.33168,33.94144,31.36992,30.09318,34.40185
2966,34.74933,34.76335,39.73145,39.33168,33.68672,30.85984,31.88406,31.35097
2967,34.74933,35.01791,39.73145,39.0744,33.432,29.3296,34.6983,28.80857
2968,38.37141,38.58175,40.24185,38.55984,33.432,28.30944,35.9775,30.33401
2969,39.14757,38.83631,39.22105,36.75888,33.17728,28.81952,38.79174,31.85945
2970,35.52549,35.52703,36.66905,34.44336,32.66784,27.54432,33.16326,31.85945
2971,27.24645,26.87199,30.28905,29.29776,28.84704,22.18848,22.41798,24.74073
2972,19.22613,18.98063,23.65385,23.89488,24.5168,19.38304,23.1855,15.84233
2973,15.60405,15.41679,19.82585,21.57936,22.22432,19.63808,27.0231,13.29993
2974,16.38021,16.94415,21.35705,23.6376,23.75264,21.93344,29.06982,17.87625
2975,21.81333,22.54447,25.95065,28.01136,27.82816,24.2288,30.09318,24.48649
2976,28.54005,29.16303,30.54425,32.12784,31.64896,27.54432,36.48918,30.07977
2977,32.16213,32.21775,32.84105,34.18608,32.41312,28.30944,39.04758,28.55433
2978,35.00805,35.01791,36.41385,36.24432,33.432,26.26912,29.5815,30.33401
2979,39.14757,39.59999,40.24185,39.33168,35.46976,27.28928,27.79062,35.16457
2980,37.85397,37.81807,39.22105,39.33168,35.9792,28.30944,32.65158,32.11369
2981,35.26677,35.27247,38.71065,39.0744,36.48864,30.85984,38.28006,28.80857
2982,33.71445,33.99967,38.45545,38.55984,35.9792,31.11488,40.58262,27.79161
2983,34.74933,35.27247,38.45545,37.788,34.7056,30.09472,40.83846,28.80857
2984,33.71445,33.99967,37.17945,36.75888,34.19616,29.07456,44.42022,27.79161
2985,29.83365,29.67215,35.39305,35.98704,33.68672,26.7792,43.39686,24.99497
2986,24.91797,24.83551,32.07545,33.15696,30.12064,20.91328,31.11654,23.72377
