Tm,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
172, 82902, 82858, 82647, 82488, 82728, 82759, 82570, 82883, -84759, -84821, -84851, -85061, -84859, -84896, -84842, -84641
173, 82906, 82856, 82639, 82495, 82720, 82761, 82563, 82871, -84765, -84812, -84849, -85060, -84871, -84894, -84847, -84646
174, 82891, 82851, 82641, 82485, 82718, 82752, 82559, 82871, -84767, -84807, -84847, -85065, -84884, -84898, -84841, -84647
175, 82896, 82856, 82644, 82484, 82721, 82758, 82566, 82879, -84763, -84807, -84856, -85066, -84879, -84899, -84842, -84638
176, 82900, 82850, 82639, 82487, 82726, 82755, 82557, 82874, -84771, -84806, -84852, -85060, -84870, -84906, -84845, -84638
177, 82916, 82858, 82649, 82488, 82733, 82768, 82563, 82878, -84760, -84807, -84854, -85066, -84868, -84891, -84839, -84642
178, 82905, 82866, 82655, 82476, 82721, 82759, 82566, 82882, -84755, -84812, -84850, -85053, -84867, -84884, -84852, -84651
179, 82898, 82868, 82660, 82484, 82716, 82751, 82559, 82876, -84754, -84809, -84847, -85054, -84884, -84891, -84849, -84641
180, 82907, 82859, 82652, 82480, 82726, 82764, 82564, 82874, -84754, -84810, -84847, -85057, -84867, -84900, -84839, -84634
181, 82916, 82861, 82655, 82468, 82727, 82768, 82564, 82888, -84761, -84811, -84853, -85056, -84866, -84901, -84843, -84630
182, 82914, 82856, 82650, 82468, 82729, 82756, 82549, 82875, -84753, -84811, -84854, -85066, -84877, -84891, -84843, -84638
183, 82906, 82859, 82645, 82469, 82726, 82754, 82549, 82861, -84754, -84810, -84854, -85056, -84879, -84898, -84854, -84639
184, 82892, 82866, 82649, 82481, 82728, 82755, 82558, 82881, -84761, -84817, -84866, -85052, -84875, -84891, -84856, -84649
185, 82894, 82857, 82649, 82479, 82730, 82762, 82569, 82876, -84748, -84817, -84852, -85052, -84865, -84884, -84845, -84635
186, 82906, 82877, 82666, 82498, 82729, 82761, 82569, 82879, -84746, -84804, -84846, -85059, -84862, -84887, -84848, -84636
187, 82903, 82868, 82665, 82485, 82733, 82752, 82554, 82878, -84752, -84806, -84851, -85065, -84869, -84886, -84848, -84639
188, 82898, 82874, 82649, 82481, 82729, 82761, 82559, 82882, -84762, -84819, -84854, -85067, -84881, -84895, -84840, -84643
189, 82905, 82863, 82638, 82475, 82724, 82762, 82560, 82887, -84760, -84821, -84859, -85064, -84872, -84900, -84849, -84634
190, 82894, 82849, 82632, 82469, 82724, 82751, 82564, 82880, -84762, -84814, -84856, -85064, -84867, -84889, -84845, -84635
191, 82886, 82856, 82652, 82473, 82726, 82753, 82559, 82880, -84758, -84811, -84842, -85065, -84860, -84895, -84839, -84646
192, 82904, 82867, 82650, 82478, 82733, 82761, 82567, 82881, -84758, -84822, -84856, -85061, -84862, -84898, -84839, -84646
193, 82908, 82868, 82642, 82479, 82733, 82753, 82554, 82890, -84766, -84822, -84855, -85056, -84861, -84899, -84845, -84652
194, 82903, 82854, 82653, 82486, 82722, 82752, 82557, 82899, -84757, -84808, -84849, -85069, -84876, -84891, -84849, -84646
195, 82897, 82843, 82657, 82476, 82723, 82753, 82553, 82880, -84750, -84821, -84849, -85072, -84877, -84899, -84854, -84646
196, 82899, 82863, 82656, 82478, 82722, 82754, 82555, 82877, -84743, -84831, -84847, -85061, -84863, -84894, -84852, -84637
197, 82899, 82856, 82653, 82484, 82719, 82757, 82556, 82884, -84751, -84826, -84839, -85054, -84864, -84902, -84839, -84638
198, 82907, 82848, 82656, 82475, 82718, 82753, 82551, 82882, -84750, -84821, -84859, -85065, -84874, -84897, -84841, -84637
199, 82916, 82850, 82649, 82470, 82734, 82751, 82558, 82876, -84747, -84817, -84854, -85066, -84867, -84895, -84842, -84634
200, 82914, 82868, 82642, 82483, 82732, 82763, 82559, 82877, -84749, -84816, -84848, -85066, -84869, -84890, -84836, -84641
201, 82902, 82868, 82646, 82489, 82722, 82764, 82562, 82878, -84761, -84815, -84851, -85066, -84867, -84892, -84842, -84639
202, 82899, 82848, 82641, 82476, 82713, 82755, 82569, 82863, -84757, -84820, -84844, -85067, -84858, -84890, -84837, -84640
203, 82901, 82856, 82648, 82474, 82714, 82759, 82569, 82870, -84757, -84807, -84849, -85057, -84856, -84896, -84834, -84634
204, 82903, 82872, 82662, 82482, 82724, 82752, 82561, 82887, -84747, -84817, -84846, -85046, -84861, -84882, -84848, -84642
205, 82903, 82857, 82661, 82486, 82723, 82750, 82561, 82884, -84736, -84813, -84838, -85054, -84864, -84891, -84848, -84642
206, 82890, 82854, 82644, 82482, 82731, 82753, 82565, 82866, -84747, -84812, -84837, -85064, -84869, -84903, -84846, -84637
207, 82892, 82861, 82650, 82477, 82726, 82757, 82556, 82865, -84749, -84813, -84839, -85068, -84867, -84898, -84854, -84634
