CH1SET,CH2SET,CH3SET,CH4SET,CH5SET,CH6SET,CH7SET,CH8SET,CH1SET1,CH2SET1,CH3SET1,CH4SET1,CH5SET1,CH6SET1,CH7SET1,CH8SET1
205363, -24304, 270239, 406941, -28936, 64854, 229319, -21723, -24304, 270239, 406941, -28936, 64854, 229319, -21723, -24304, 270239, 406941, -28936, 64854, 229319, -21723
200651, -24584, 283262, 407874, -28534, 61416, 207143, -21771, -24584, 283262, 407874, -28534, 61416, 207143, -21771, -24584, 283262, 407874, -28534, 61416, 207143, -21771
190137, -24347, 287069, 406475, -28646, 62691, 208641, -21752, -24347, 287069, 406475, -28646, 62691, 208641, -21752, -24347, 287069, 406475, -28646, 62691, 208641, -21752
192989, -24191, 287294, 398467, -28977, 61113, 208653, -21887, -24191, 287294, 398467, -28977, 61113, 208653, -21887, -24191, 287294, 398467, -28977, 61113, 208653, -21887
195023, -24004, 280027, 406515, -28999, 60323, 239714, -21817, -24004, 280027, 406515, -28999, 60323, 239714, -21817, -24004, 280027, 406515, -28999, 60323, 239714, -21817
193738, -24421, 287987, 400438, -28565, 59424, 219769, -21813, -24421, 287987, 400438, -28565, 59424, 219769, -21813, -24421, 287987, 400438, -28565, 59424, 219769, -21813
192679, -25104, 280106, 388932, -28532, 64116, 191830, -21839, -25104, 280106, 388932, -28532, 64116, 191830, -21839, -25104, 280106, 388932, -28532, 64116, 191830, -21839
190333, -24604, 277889, 383889, -28604, 61824, 235747, -21803, -24604, 277889, 383889, -28604, 61824, 235747, -21803, -24604, 277889, 383889, -28604, 61824, 235747, -21803
192173, -24802, 277004, 416922, -28829, 60556, 232921, -21795, -24802, 277004, 416922, -28829, 60556, 232921, -21795, -24802, 277004, 416922, -28829, 60556, 232921, -21795
189553, -24823, 287634, 418091, -28827, 59223, 223044, -22009, -24823, 287634, 418091, -28827, 59223, 223044, -22009, -24823, 287634, 418091, -28827, 59223, 223044, -22009
194950, -24019, 259834, 388193, -28802, 61999, 193164, -21875, -24019, 259834, 388193, -28802, 61999, 193164, -21875, -24019, 259834, 388193, -28802, 61999, 193164, -21875
190750, -24137, 267136, 376427, -28612, 62221, 222513, -21747, -24137, 267136, 376427, -28612, 62221, 222513, -21747, -24137, 267136, 376427, -28612, 62221, 222513, -21747
184014, -24466, 288509, 390371, -28541, 59679, 246381, -21640, -24466, 288509, 390371, -28541, 59679, 246381, -21640, -24466, 288509, 390371, -28541, 59679, 246381, -21640
179273, -24296, 299825, 391044, -28520, 66780, 222168, -21696, -24296, 299825, 391044, -28520, 66780, 222168, -21696, -24296, 299825, 391044, -28520, 66780, 222168, -21696
187569, -24149, 284192, 391976, -28977, 68996, 215959, -21529, -24149, 284192, 391976, -28977, 68996, 215959, -21529, -24149, 284192, 391976, -28977, 68996, 215959, -21529
189422, -24102, 281419, 389454, -28790, 64365, 219511, -21632, -24102, 281419, 389454, -28790, 64365, 219511, -21632, -24102, 281419, 389454, -28790, 64365, 219511, -21632
182701, -23989, 276206, 389794, -28611, 65612, 211669, -21944, -23989, 276206, 389794, -28611, 65612, 211669, -21944, -23989, 276206, 389794, -28611, 65612, 211669, -21944
188978, -24740, 294042, 392276, -28844, 65009, 205280, -22207, -24740, 294042, 392276, -28844, 65009, 205280, -22207, -24740, 294042, 392276, -28844, 65009, 205280, -22207
191100, -24612, 296843, 398990, -28772, 64321, 215974, -22069, -24612, 296843, 398990, -28772, 64321, 215974, -22069, -24612, 296843, 398990, -28772, 64321, 215974, -22069
196312, -24766, 278498, 402182, -28537, 68512, 222061, -21565, -24766, 278498, 402182, -28537, 68512, 222061, -21565, -24766, 278498, 402182, -28537, 68512, 222061, -21565
193319, -24299, 285084, 405391, -28932, 66619, 224199, -21687, -24299, 285084, 405391, -28932, 66619, 224199, -21687, -24299, 285084, 405391, -28932, 66619, 224199, -21687
191159, -24566, 290568, 385466, -28816, 63469, 207969, -21681, -24566, 290568, 385466, -28816, 63469, 207969, -21681, -24566, 290568, 385466, -28816, 63469, 207969, -21681
187159, -23816, 284223, 389233, -28767, 61409, 202570, -21667, -23816, 284223, 389233, -28767, 61409, 202570, -21667, -23816, 284223, 389233, -28767, 61409, 202570, -21667
183963, -24691, 264724, 396401, -28849, 59719, 205377, -22020, -24691, 264724, 396401, -28849, 59719, 205377, -22020, -24691, 264724, 396401, -28849, 59719, 205377, -22020
